Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
2022-08-14,Torino,Fiorentina,1,0,H,1,0,H,6,9,2,3,18,10,4,2,0,1,0,0,2022/3
2022-08-06,Atalanta,Bologna,1,1,D,1,1,H,7,12,2,4,16,14,4,10,2,3,0,0,2022/3
2022-08-22,Udinese,Napoli,0,0,D,0,0,H,10,8,3,3,18,16,5,3,1,1,0,0,2022/3
2022-08-17,Intel Milan,Monza,0,0,D,0,0,H,11,6,4,2,17,18,4,2,2,3,0,0,2022/3
2022-08-13,Genoa,Atalanta,0,1,A,0,0,H,4,8,1,2,11,11,7,4,0,2,0,0,2022/3
2022-08-05,Fiorentina,AC Milan,0,0,D,0,0,H,6,11,1,4,16,8,12,4,1,1,0,0,2022/3
2022-08-26,Udinese,Intel Milan,0,0,D,0,0,H,11,11,4,4,12,18,7,4,3,2,0,0,2022/3
2022-08-09,Sassuolo,Lecce,0,0,D,0,0,H,13,12,5,5,18,11,2,7,0,1,0,0,2022/3
2022-08-14,Sassuolo,Napoli,0,0,D,0,0,H,10,7,4,2,11,14,5,7,3,1,0,0,2022/3
2022-08-11,Cagliari,Venezia,0,0,D,0,0,H,14,6,5,2,12,9,8,3,2,0,0,0,2022/3
2022-08-13,Napoli,Udinese,3,1,H,1,1,H,9,7,3,3,10,10,3,3,2,0,0,0,2022/3
2022-08-14,Como,Genoa,0,1,A,0,0,H,6,12,1,4,9,8,4,7,3,3,0,0,2022/3
2022-08-13,Genoa,Verona,0,0,D,0,0,H,5,11,2,3,8,12,5,4,3,0,0,0,2022/3
2022-08-17,Lazio,AC Milan,2,2,D,1,1,H,14,14,5,5,18,17,4,2,0,3,0,0,2022/3
2022-08-01,Sassuolo,Monza,0,0,D,0,0,H,8,4,2,1,14,14,2,11,3,2,0,0,2022/3
2022-08-05,Udinese,Venezia,1,0,H,1,0,H,8,12,3,5,9,14,8,4,2,0,0,0,2022/3
2022-08-25,Juventus,Bologna,2,0,H,0,0,H,14,7,4,3,16,17,11,7,1,2,0,0,2022/3
2022-08-26,Lecce,Napoli,0,0,D,0,0,H,9,11,4,4,9,18,7,5,0,3,0,0,2022/3
2022-08-22,Juventus,Udinese,1,1,D,0,0,H,9,5,3,1,18,8,6,3,2,0,0,0,2022/3
2022-08-08,Napoli,Cagliari,1,1,D,0,0,H,10,5,3,2,11,18,10,2,1,0,0,0,2022/3
2022-08-12,Napoli,Fiorentina,0,0,D,0,0,H,14,13,5,5,12,9,2,7,1,1,0,0,2022/3
2022-08-26,Fiorentina,Bologna,0,0,D,0,0,H,11,6,3,1,10,16,4,2,0,2,0,0,2022/3
2022-08-22,Udinese,Como,0,0,D,0,0,H,8,11,3,5,13,10,9,5,0,3,0,0,2022/3
2022-08-14,Empoli,Fiorentina,0,0,D,0,0,H,4,6,1,2,17,14,5,6,1,2,0,0,2022/3
2022-08-08,Fiorentina,Torino,1,1,D,1,0,H,7,6,3,2,10,12,6,2,0,1,0,0,2022/3
2022-08-23,Atalanta,Como,2,2,D,2,2,H,9,11,2,5,10,13,7,2,0,1,0,0,2022/3
2022-08-08,Verona,Fiorentina,1,0,H,1,0,H,7,7,3,3,16,11,8,3,2,2,0,0,2022/3
2022-08-27,Roma,Genoa,0,1,A,0,0,H,12,7,5,3,11,15,10,6,3,2,0,0,2022/3
2022-08-24,Lazio,Atalanta,1,1,D,0,0,H,10,7,4,2,16,13,7,3,0,1,0,0,2022/3
2022-08-04,Sassuolo,Lazio,1,0,H,1,0,H,10,13,3,4,12,16,6,3,3,1,0,0,2022/3
2022-08-01,Venezia,Empoli,0,0,D,0,0,H,7,9,2,3,13,8,2,10,2,3,0,0,2022/3
2022-08-18,Cagliari,Sassuolo,0,0,D,0,0,H,8,9,2,3,10,11,2,4,3,3,0,0,2022/3
2022-08-09,Empoli,Bologna,0,0,D,0,0,H,6,5,1,1,15,17,4,3,1,0,0,0,2022/3
2022-08-23,Verona,Torino,1,0,H,0,0,H,4,12,1,4,8,8,2,3,1,2,0,0,2022/3
2022-08-17,Bologna,Udinese,0,1,A,0,0,H,7,11,3,4,14,13,7,6,3,1,0,0,2022/3
2022-08-01,Verona,Sassuolo,0,0,D,0,0,H,9,11,3,4,15,10,3,3,1,3,0,0,2022/3
2022-08-16,Verona,Empoli,1,0,H,0,0,H,8,5,2,2,12,9,2,3,1,0,0,0,2022/3
2022-08-07,Bologna,Venezia,0,0,D,0,0,H,8,11,2,4,16,18,4,5,1,2,0,0,2022/3
2022-08-21,Como,Lecce,0,0,D,0,0,H,8,9,3,4,12,8,2,4,2,1,0,0,2022/3
2022-08-13,Monza,Roma,0,0,D,0,0,H,10,3,3,1,17,13,4,9,3,3,0,0,2022/3
2022-08-18,Empoli,AC Milan,0,1,A,0,0,H,13,10,5,4,8,11,8,4,0,3,0,0,2022/3
2022-08-09,Torino,Sassuolo,0,0,D,0,0,H,12,10,3,3,18,16,2,5,0,1,0,0,2022/3
2022-08-27,Monza,Napoli,0,1,A,0,0,H,12,14,5,4,16,11,3,3,1,0,0,0,2022/3
2022-08-12,Como,Torino,0,0,D,0,0,H,8,4,3,1,10,14,5,9,0,2,0,0,2022/3
2022-08-08,Cagliari,Atalanta,0,0,D,0,0,H,5,12,2,4,12,8,4,6,0,0,0,0,2022/3
2022-08-15,Venezia,Juventus,1,0,H,0,0,H,11,12,4,5,13,12,3,7,3,1,0,0,2022/3
2022-08-25,Juventus,Monza,1,0,H,0,0,H,5,9,2,2,17,17,6,2,0,3,0,0,2022/3
2022-08-13,Juventus,Fiorentina,0,0,D,0,0,H,17,9,6,4,13,17,2,8,3,3,0,0,2022/3
2022-08-07,Roma,Empoli,0,0,D,0,0,H,14,5,6,1,18,12,6,7,0,2,0,0,2022/3
2022-08-24,Roma,Lazio,0,1,A,0,1,H,9,16,3,7,17,9,2,3,0,0,0,0,2022/3
2022-08-11,Lecce,AC Milan,0,1,A,0,0,H,3,5,1,2,14,17,2,3,2,1,0,0,2022/3
2022-08-22,Atalanta,Udinese,0,0,D,0,0,H,18,6,8,2,16,18,7,7,3,3,0,0,2022/3
2022-08-19,Monza,Atalanta,2,1,H,0,1,H,12,11,4,5,9,14,4,7,2,3,0,0,2022/3
2022-08-02,Fiorentina,Atalanta,3,1,H,1,0,H,7,7,2,2,12,16,2,4,2,3,0,0,2022/3
2022-08-04,Venezia,Intel Milan,1,1,D,0,0,H,7,7,2,3,10,14,4,7,2,3,0,0,2022/3
2022-08-27,Torino,Juventus,0,0,D,0,0,H,13,13,4,6,17,9,5,6,1,3,0,0,2022/3
2022-08-21,Venezia,Monza,0,0,D,0,0,H,3,6,1,2,10,12,2,5,0,3,0,0,2022/3
2022-08-22,Juventus,Torino,1,0,H,1,0,H,11,8,3,3,16,13,5,7,2,1,0,0,2022/3
2022-08-15,Verona,Monza,1,0,H,0,0,H,5,5,2,1,14,11,3,4,0,2,0,0,2022/3
2022-08-04,Bologna,Genoa,0,0,D,0,0,H,11,8,4,3,14,17,2,6,2,2,0,0,2022/3
2022-08-01,Sassuolo,AC Milan,1,1,D,0,1,H,14,12,4,5,8,8,5,7,2,0,0,0,2022/3
2022-08-28,Empoli,Juventus,0,0,D,0,0,H,4,10,1,3,9,8,4,4,3,2,0,0,2022/3
2022-08-06,Cagliari,Napoli,1,0,H,1,0,H,12,16,5,6,17,14,6,6,1,1,0,0,2022/3
2022-08-10,Sassuolo,Intel Milan,0,1,A,0,0,H,19,10,9,4,10,15,3,5,1,2,0,0,2022/3
2022-08-20,Fiorentina,Intel Milan,0,2,A,0,2,H,13,18,5,8,10,13,4,5,0,3,0,0,2022/3
2022-08-11,Lazio,Monza,0,1,A,0,1,H,15,12,5,5,12,15,5,7,2,3,0,0,2022/3
2022-08-08,Roma,Fiorentina,0,0,D,0,0,H,9,6,4,2,18,15,7,4,0,0,0,0,2022/3
2022-08-05,Lecce,Atalanta,1,1,D,0,0,H,5,14,2,6,13,18,4,3,0,3,0,0,2022/3
2022-08-23,Intel Milan,Napoli,3,1,H,2,0,H,15,20,4,7,14,8,7,3,0,3,0,0,2022/3
2022-08-06,Udinese,Sassuolo,0,1,A,0,1,H,11,11,3,3,13,14,5,4,0,0,0,0,2022/3
2022-08-28,Juventus,Como,1,1,D,0,1,H,10,7,3,3,15,15,4,5,2,1,0,0,2022/3
2022-08-15,AC Milan,Udinese,1,0,H,0,0,H,12,6,4,2,17,15,3,7,0,3,0,0,2022/3
2022-08-26,Atalanta,Intel Milan,0,2,A,0,1,H,19,15,6,5,12,10,2,5,3,1,0,0,2022/3
2022-08-17,Napoli,Lazio,2,1,H,2,0,H,15,12,4,4,16,18,7,7,0,3,0,0,2022/3
2022-08-06,Lazio,Lecce,0,0,D,0,0,H,20,6,7,2,15,8,9,4,1,2,0,0,2022/3
2022-08-08,Monza,Lazio,1,0,H,1,0,H,8,9,3,4,17,9,4,8,2,2,0,0,2022/3
2022-08-02,Genoa,Lecce,1,0,H,1,0,H,8,9,3,3,12,14,6,8,3,1,0,0,2022/3
2022-08-13,Monza,Cagliari,0,0,D,0,0,H,13,8,4,3,9,13,3,3,2,0,0,0,2022/3
2022-08-01,Napoli,Empoli,0,0,D,0,0,H,4,9,1,3,17,15,4,2,1,0,0,0,2022/3
2022-08-27,Atalanta,Juventus,2,0,H,0,0,H,10,13,4,4,14,14,6,3,3,3,0,0,2022/3
2022-08-24,Lazio,Juventus,0,0,D,0,0,H,11,10,4,3,18,10,8,4,2,1,0,0,2022/3
2022-08-19,Cagliari,Lecce,0,0,D,0,0,H,7,9,3,3,12,11,8,4,2,1,0,0,2022/3
2022-08-03,AC Milan,Juventus,0,2,A,0,0,H,8,12,3,4,15,16,2,7,0,2,0,0,2022/3
2022-08-11,Venezia,Roma,0,0,D,0,0,H,7,4,3,1,15,11,6,6,1,0,0,0,2022/3
2022-08-21,Atalanta,Verona,1,0,H,0,0,H,7,10,2,4,16,14,4,7,2,2,0,0,2022/3
2022-08-01,Intel Milan,Cagliari,1,0,H,1,0,H,16,6,6,2,15,8,7,3,2,2,0,0,2022/3
2022-08-12,Fiorentina,Napoli,0,0,D,0,0,H,9,9,4,2,8,16,5,2,3,3,0,0,2022/3
2022-08-11,Atalanta,Fiorentina,0,0,D,0,0,H,10,8,3,3,18,17,5,5,3,1,0,0,2022/3
2022-08-13,Venezia,Genoa,0,0,D,0,0,H,10,7,3,2,11,13,7,5,3,0,0,0,2022/3
2022-08-12,Juventus,Empoli,1,0,H,1,0,H,11,10,4,3,9,15,3,5,3,2,0,0,2022/3
2022-08-19,Napoli,Intel Milan,3,4,A,2,4,H,28,14,11,5,13,11,3,5,0,1,0,0,2022/3
2022-08-28,Bologna,Roma,0,1,A,0,1,H,9,8,4,2,13,16,6,2,0,0,0,0,2022/3
2022-08-09,Genoa,Intel Milan,2,0,H,0,0,H,5,15,2,4,14,9,5,5,3,2,0,0,2022/3
2022-08-14,Como,Fiorentina,0,1,A,0,0,H,10,4,3,1,13,11,2,2,1,1,0,0,2022/3
2022-08-15,Cagliari,Como,1,0,H,0,0,H,8,9,2,4,8,18,8,5,0,0,0,0,2022/3
2022-08-15,Monza,Fiorentina,0,1,A,0,1,H,8,8,2,3,9,17,2,6,2,0,0,0,2022/3
2022-08-08,Intel Milan,Genoa,2,0,H,2,0,H,15,11,7,4,15,12,7,7,0,1,0,0,2022/3
2022-08-08,Lecce,Como,0,0,D,0,0,H,8,14,3,6,8,8,5,5,0,2,0,0,2022/3
2022-08-28,Fiorentina,Juventus,0,3,A,0,1,H,10,12,4,3,18,16,7,5,0,0,0,0,2022/3
2022-08-11,Udinese,Bologna,1,0,H,1,0,H,11,10,3,4,8,16,8,4,0,0,0,0,2022/3
2022-08-21,Torino,Bologna,0,0,D,0,0,H,8,8,3,2,16,18,6,3,3,0,0,0,2022/3
2022-08-04,Napoli,AC Milan,2,2,D,0,2,H,13,10,5,4,14,14,10,6,2,3,0,0,2022/3
2022-08-10,Udinese,Torino,0,0,D,0,0,H,6,7,2,2,14,15,4,6,3,2,0,0,2022/3
2022-08-12,Udinese,Cagliari,0,1,A,0,0,H,6,5,2,2,17,16,3,6,1,3,0,0,2022/3
2022-08-17,Bologna,Cagliari,0,1,A,0,1,H,13,9,6,3,16,12,6,3,2,0,0,0,2022/3
2022-08-08,Lazio,Verona,0,0,D,0,0,H,11,13,5,4,11,9,2,5,2,3,0,0,2022/3
2022-08-28,Intel Milan,Bologna,1,0,H,0,0,H,12,14,4,6,9,14,9,2,3,2,0,0,2022/3
2022-08-01,Udinese,Atalanta,0,1,A,0,0,H,11,6,4,1,12,17,3,7,2,0,0,0,2022/3
2022-08-10,Juventus,AC Milan,0,2,A,0,1,H,17,8,7,3,18,9,5,3,3,2,0,0,2022/3
2022-08-19,Empoli,Verona,0,0,D,0,0,H,12,9,3,4,13,11,6,3,1,1,0,0,2022/3
2022-08-24,Napoli,Sassuolo,2,1,H,2,1,H,12,13,5,6,16,15,6,5,3,2,0,0,2022/3
2022-08-28,Torino,Empoli,0,0,D,0,0,H,5,7,1,2,17,13,9,3,2,3,0,0,2022/3
2022-08-23,AC Milan,Genoa,1,0,H,0,0,H,10,10,3,4,13,16,3,4,1,1,0,0,2022/3
2022-08-21,Intel Milan,Roma,1,0,H,0,0,H,26,13,10,4,12,10,5,4,3,2,0,0,2022/3
2022-08-14,Lecce,Torino,0,0,D,0,0,H,4,3,1,1,17,14,4,4,2,3,0,0,2022/3
2022-08-26,Cagliari,Lazio,0,0,D,0,0,H,14,8,6,3,10,15,8,10,3,1,0,0,2022/3
2022-08-16,Fiorentina,Como,0,0,D,0,0,H,15,9,5,4,13,11,6,4,2,0,0,0,2022/3
2022-08-12,Roma,Venezia,0,1,A,0,0,H,8,6,3,2,13,18,4,7,3,0,0,0,2022/3
2022-08-05,Como,Empoli,0,1,A,0,0,H,11,9,5,4,16,8,2,7,0,3,0,0,2022/3
2022-08-10,Juventus,Sassuolo,1,0,H,0,0,H,10,11,3,3,13,8,8,9,1,3,0,0,2022/3
2022-08-12,AC Milan,Venezia,0,0,D,0,0,H,11,8,3,2,18,11,5,3,2,0,0,0,2022/3
2022-08-03,Genoa,Fiorentina,0,0,D,0,0,H,6,12,2,4,8,11,7,2,1,1,0,0,2022/3
2022-08-24,Atalanta,Venezia,0,1,A,0,0,H,6,3,2,1,14,15,5,2,0,3,0,0,2022/3
2022-08-21,Genoa,Sassuolo,0,0,D,0,0,H,9,6,4,2,18,10,6,3,0,0,0,0,2022/3
2022-08-17,Cagliari,Fiorentina,0,1,A,0,1,H,10,8,3,3,12,11,2,2,3,1,0,0,2022/3
2022-08-23,Genoa,AC Milan,0,0,D,0,0,H,9,9,3,3,15,17,4,3,2,1,0,0,2022/3
2022-08-11,Como,Atalanta,0,0,D,0,0,H,11,10,5,3,11,17,5,7,1,1,0,0,2022/3
2022-08-15,Roma,Como,0,1,A,0,0,H,16,10,7,3,10,15,8,4,3,2,0,0,2022/3
2022-08-22,AC Milan,Lazio,1,0,H,1,0,H,11,10,3,4,16,16,2,2,2,1,0,0,2022/3
2022-08-02,Fiorentina,Empoli,3,0,H,3,0,H,6,7,2,2,11,14,3,9,1,1,0,0,2022/3
2022-08-27,Intel Milan,Torino,2,0,H,0,0,H,20,9,9,3,16,12,5,12,1,0,0,0,2022/3
2022-08-23,Como,Lazio,0,0,D,0,0,H,15,12,5,4,18,17,4,3,1,2,0,0,2022/3
2022-08-02,Lecce,Genoa,0,0,D,0,0,H,7,10,2,4,14,17,7,2,1,1,0,0,2022/3
2022-08-11,Bologna,Torino,0,0,D,0,0,H,11,10,4,3,12,14,3,6,0,3,0,0,2022/3
2022-08-14,Roma,Verona,1,0,H,0,0,H,7,10,2,4,15,18,4,5,3,0,0,0,2022/3
2022-08-23,Monza,Como,0,0,D,0,0,H,5,6,2,2,14,9,4,5,1,2,0,0,2022/3
2022-08-19,Fiorentina,Roma,1,0,H,0,0,H,12,11,5,5,10,9,3,5,0,2,0,0,2022/3
2022-08-21,Cagliari,Juventus,0,1,A,0,0,H,9,8,4,2,8,9,4,4,2,3,0,0,2022/3
2022-08-07,Verona,Genoa,0,1,A,0,0,H,12,11,4,4,16,17,4,5,3,2,0,0,2022/3
2022-08-22,AC Milan,Intel Milan,1,3,A,1,1,H,14,20,6,9,15,17,4,2,0,3,0,0,2022/3
2022-08-01,Monza,Empoli,1,1,D,1,0,H,11,10,5,4,8,16,7,5,0,0,0,0,2022/3
2022-08-14,Genoa,Lazio,0,0,D,0,0,H,6,10,2,4,18,14,4,6,0,3,0,0,2022/3
2022-08-04,Atalanta,Torino,1,0,H,1,0,H,17,8,6,3,12,17,4,3,0,3,0,0,2022/3
2022-08-01,Sassuolo,Atalanta,0,0,D,0,0,H,10,9,4,4,18,16,6,5,0,0,0,0,2022/3
2022-08-06,Lecce,Venezia,1,0,H,1,0,H,6,13,2,5,12,10,5,5,1,3,0,0,2022/3
2022-08-23,Venezia,Atalanta,0,0,D,0,0,H,8,9,2,4,17,14,11,7,3,2,0,0,2022/3
2022-08-28,Empoli,Roma,0,1,A,0,0,H,8,9,2,3,8,13,2,6,0,3,0,0,2022/3
2022-08-21,Empoli,Intel Milan,0,2,A,0,0,H,11,13,4,4,11,12,4,7,1,1,0,0,2022/3
2022-08-22,Napoli,Como,0,0,D,0,0,H,16,9,6,3,15,15,7,6,3,1,0,0,2022/3
2022-08-27,Como,Monza,0,2,A,0,1,H,4,10,1,3,13,16,3,4,3,2,0,0,2022/3
2022-08-19,Napoli,Genoa,1,0,H,0,0,H,17,10,5,4,15,17,4,3,0,2,0,0,2022/3
2022-08-21,Lecce,Monza,0,1,A,0,0,H,7,11,2,5,10,16,5,6,0,3,0,0,2022/3
2022-08-27,Roma,Juventus,2,0,H,0,0,H,8,11,3,3,12,14,8,7,3,3,0,0,2022/3
2022-08-26,Venezia,Torino,0,0,D,0,0,H,6,10,2,3,9,15,4,2,0,1,0,0,2022/3
2022-08-26,Como,Bologna,2,0,H,2,0,H,8,10,3,4,11,8,4,4,1,1,0,0,2022/3
2022-08-19,Empoli,Sassuolo,1,0,H,0,0,H,10,9,4,4,13,10,6,8,2,2,0,0,2022/3
2022-08-11,Bologna,Como,2,0,H,2,0,H,8,4,3,1,8,15,3,2,0,0,0,0,2022/3
2022-08-10,Fiorentina,Verona,0,1,A,0,1,H,9,3,3,1,15,14,7,5,2,3,0,0,2022/3
2022-08-03,Torino,Genoa,0,0,D,0,0,H,6,4,1,1,12,17,10,3,1,3,0,0,2022/3
2022-08-28,Genoa,Cagliari,0,0,D,0,0,H,7,12,3,4,15,13,6,8,3,2,0,0,2022/3
2022-08-03,Sassuolo,Venezia,0,1,A,0,0,H,9,15,4,6,18,17,5,9,2,3,0,0,2022/3
2022-08-13,Monza,Torino,0,0,D,0,0,H,14,17,6,5,11,14,4,4,1,0,0,0,2022/3
2022-08-02,Lecce,Sassuolo,0,0,D,0,0,H,14,9,6,3,15,16,5,5,3,0,0,0,2022/3
2022-08-24,Cagliari,Bologna,0,0,D,0,0,H,10,8,4,2,18,13,4,5,1,3,0,0,2022/3
2022-08-12,Monza,AC Milan,0,0,D,0,0,H,11,7,4,2,10,15,6,6,1,2,0,0,2022/3
2022-08-02,Lazio,Roma,0,2,A,0,1,H,9,14,3,5,13,13,7,2,2,0,0,0,2022/3
2022-08-13,Udinese,Juventus,0,0,D,0,0,H,7,10,3,4,17,17,4,4,0,2,0,0,2022/3
2022-08-01,Torino,Udinese,0,0,D,0,0,H,11,10,5,4,8,18,3,2,1,1,0,0,2022/3
2022-08-13,Cagliari,Monza,0,0,D,0,0,H,5,13,1,6,16,17,5,3,1,3,0,0,2022/3
2022-08-25,Juventus,Lazio,0,1,A,0,0,H,22,13,7,4,16,16,2,9,2,0,0,0,2022/3
2022-08-03,Atalanta,Empoli,0,0,D,0,0,H,13,10,5,4,16,12,3,2,1,2,0,0,2022/3
2022-08-16,AC Milan,Empoli,2,0,H,1,0,H,16,6,7,2,14,18,8,3,2,2,0,0,2022/3
2022-08-05,Lecce,Lazio,0,0,D,0,0,H,16,13,5,4,16,13,5,2,3,0,0,0,2022/3
2022-08-05,Genoa,Monza,0,1,A,0,0,H,14,13,4,5,10,16,2,4,1,1,0,0,2022/3
2022-08-17,Lazio,Venezia,0,0,D,0,0,H,18,7,5,3,17,15,4,8,0,2,0,0,2022/3
2022-08-14,Roma,Lecce,0,0,D,0,0,H,8,13,3,5,12,15,4,8,1,3,0,0,2022/3
2022-08-09,Venezia,Como,1,0,H,0,0,H,9,5,4,1,18,13,6,6,2,0,0,0,2022/3
2022-08-01,AC Milan,Napoli,1,1,D,1,0,H,10,12,4,3,9,16,7,3,2,0,0,0,2022/3
2022-08-24,Verona,Lecce,0,1,A,0,0,H,11,9,4,3,12,13,9,3,0,2,0,0,2022/3
2022-08-01,Monza,Lecce,0,2,A,0,0,H,12,7,4,2,16,18,5,7,3,3,0,0,2022/3
2022-08-03,Napoli,Atalanta,1,0,H,0,0,H,11,11,3,4,17,11,7,5,3,3,0,0,2022/3
2022-08-25,AC Milan,Roma,1,1,D,0,0,H,15,4,6,1,13,11,10,2,1,1,0,0,2022/3
2022-08-08,Fiorentina,Lecce,0,1,A,0,0,H,9,11,3,4,11,15,6,9,1,1,0,0,2022/3
2022-08-17,Napoli,Verona,0,0,D,0,0,H,14,9,5,4,9,17,2,4,0,2,0,0,2022/3
2022-08-21,Venezia,Bologna,0,0,D,0,0,H,3,12,1,4,15,11,4,2,2,2,0,0,2022/3
2022-08-11,Venezia,Cagliari,1,0,H,1,0,H,8,6,2,2,18,8,8,7,2,3,0,0,2022/3
2022-08-21,Lazio,Como,0,0,D,0,0,H,5,8,2,3,17,14,6,10,1,0,0,0,2022/3
2022-08-14,Atalanta,Lazio,3,0,H,0,0,H,12,14,4,4,14,8,6,4,2,0,0,0,2022/3
2022-08-24,Fiorentina,Venezia,0,0,D,0,0,H,13,6,5,2,11,14,6,5,3,2,0,0,2022/3
2022-08-15,Napoli,Monza,0,0,D,0,0,H,11,11,4,4,12,16,5,4,2,2,0,0,2022/3
2022-08-09,AC Milan,Verona,0,0,D,0,0,H,15,8,6,3,12,12,7,6,3,0,0,0,2022/3
2022-08-16,Sassuolo,Como,0,0,D,0,0,H,12,8,4,2,12,15,3,7,3,3,0,0,2022/3
2022-08-17,Cagliari,Intel Milan,0,3,A,0,1,H,11,13,3,4,12,16,9,3,3,3,0,0,2022/3
2022-08-20,Torino,Verona,0,0,D,0,0,H,8,11,2,5,9,16,6,3,3,2,0,0,2022/3
2022-08-08,Verona,Atalanta,1,0,H,0,0,H,8,9,3,4,10,10,8,2,0,0,0,0,2022/3
2022-08-24,Empoli,Cagliari,2,2,D,2,1,H,6,13,1,4,9,15,5,4,1,3,0,0,2022/3
2022-08-03,Empoli,Genoa,0,1,A,0,0,H,12,10,3,4,17,11,8,6,2,2,0,0,2022/3
2022-08-28,Juventus,Atalanta,0,0,D,0,0,H,14,10,4,4,15,9,3,4,1,1,0,0,2022/3
2022-08-25,Verona,Juventus,0,1,A,0,1,H,13,12,6,3,14,13,9,6,1,1,0,0,2022/3
